Indicator Id,Indicator Category,Sub Category,Red Flag Description,Risk Level,Typology,Geographic Focus,Transaction Type,Co Occurring Indicators,Source Primary,Source Url,Date Published,Notes
ACCT-001,Account Activity,Dormant Activation,"Inactive account begins to see financial activity (deposits, wire transfers, withdrawals)",Medium,Behavioural & Profile Anomalies,Global,All,"ATYPICAL-007, ATYPICAL-008, WIRE-008",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Classic money mule indicator
ACCT-002,Account Activity,Periodic Patterns,Accounts receive relevant periodical deposits and are inactive at other periods without logical explanation,Medium,Behavioural & Profile Anomalies,Global,"ABM, EFT, EMT, Cheque, Wire","ACCT-001, ATYPICAL-006, STRUCT-006",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May have legitimate seasonal business
ACCT-003,Account Activity,Credit Surge,Sudden increase in credit card usage or applications for new credit,Medium,Behavioural & Profile Anomalies,Global,Card,"PROD-008, ACCT-004, PROF-001",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May indicate identity theft
ACCT-004,Account Activity,Abrupt Change,Abrupt change in account activity,Medium,Behavioural & Profile Anomalies,Global,All,"PROF-010, ACCT-001, PROF-001",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Key investigation trigger
PROD-008,Products & Services,Credit Card Abuse,"Credit card transactions and payments exceptionally high including excessive cash advances, balance transfers, or luxury items",High,Behavioural & Profile Anomalies,Global,Card,"ACCT-003, HT-SEX-01, HT-SEX-02",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Unusual credit usage pattern
PROF-001,Profile Mismatch,Activity vs Expectation,Transactional activity far exceeds projected activity at account opening or relationship beginning,High,Behavioural & Profile Anomalies,Global,All,"PROF-002, PROF-006, ACCT-004, PROF-010",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Strong indicator of changed use
PROF-002,Profile Mismatch,Financial Standing,"Transactional activity (level/volume) inconsistent with client's apparent financial standing, usual pattern, or occupation (student, unemployed, social assistance)",High,Behavioural & Profile Anomalies,Global,All,"PROF-001, PROF-005, ATYPICAL-007, WIRE-010",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Classic money mule indicator
PROF-003,Profile Mismatch,Geographic Volume,Volume of transactional activity exceeds norm for geographical area,Medium,Behavioural & Profile Anomalies,Geographic Specific,All,"GEO-001, GEO-002, PROF-004",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May indicate hub for ML activity
PROF-005,Profile Mismatch,Living Beyond Means,Client appears to be living beyond their means; significantly more spending than income,Medium,Behavioural & Profile Anomalies,Global,All,"PROF-002, PROD-008, HT-SEX-03",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May indicate proceeds of crime
PROF-008,Profile Mismatch,Transaction Type/Size,Size or type of transactions atypical of what is expected from client,Medium,Behavioural & Profile Anomalies,Global,All,"PROF-001, PROF-010, ACCT-004",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Requires good baseline understanding
PROF-010,Profile Mismatch,Sudden Change,"Sudden change in client's financial profile, pattern of activity or transactions",High,Behavioural & Profile Anomalies,Global,All,"PROF-001, ACCT-004, PROF-006",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Key trigger for investigation
  ▌ TRADE-BASED ML & SHELL ENTITIES   (6 indicators),,,,,,,,,,,,
GATE-001,Gatekeeper Misuse,Atypical Account Use,"Gatekeeper utilizing their account for transactions not typical of their business (pass-through, excessive cash, payments to non-clients)",High,Trade-Based ML & Shell Entities,Global,All,"PROF-004, PML-TBML-02, WIRE-008",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Misuse of trust account
PML-TBML-02,Trade-Based ML,Sector Deviation,Entity has business activities or a model that is outside the norm for its sector.,Medium,Trade-Based ML & Shell Entities,Canada,All,"PML-TBML-03, PROF-004, GATE-001",FINTRAC 18/19-SIDEL-025,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,2018-07-18,Profile mismatch in TBML context; trade volume or counterparty mix inconsistent with stated business.
PML-TBML-03,Trade-Based ML,Counterparty Risk,"The entity transacts with a large number of entities in high-volume, high-demand sectors or unrelated sectors.",High,Trade-Based ML & Shell Entities,Global,"Wire, EFT","PML-TBML-02, PML-TBML-04, PML-TBML-08",FINTRAC 18/19-SIDEL-025,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,2018-07-18,Counterparty in FATF-listed or high-risk jurisdiction without clear trade rationale.
PML-TBML-04,Trade-Based ML,Volume Spike,Entity receives a sudden inflow of large-value electronic funds transfers.,High,Trade-Based ML & Shell Entities,Global,EFT,"PML-TBML-03, WIRE-008, ATYPICAL-008",FINTRAC 18/19-SIDEL-025,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,2018-07-18,Sudden volume spike in trade accounts is a primary TBML trigger; assess against industry seasonality.
PML-TBML-08,Trade-Based ML,Round Sums,"Orders or receives payments for goods in round figures or in increments of approximately US$50,000.",High,Trade-Based ML & Shell Entities,Global,"Wire, EFT","PML-TBML-04, STRUCT-001, PROF-007",FINTRAC 18/19-SIDEL-025,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,2018-07-18,Round sum invoices in trade context indicate fictitious or padded invoicing rather than genuine commercial transactions.
PROF-004,Profile Mismatch,Business Activity,"Transactional activity inconsistent with declared business (e.g. no payrolls, invoices, normal business transactions)",High,Trade-Based ML & Shell Entities,Global,All,"GATE-001, PML-TBML-02, PROF-006",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Strong shell/front company indicator
  ▌ CROSS-BORDER & GEOGRAPHIC RISK   (7 indicators),,,,,,,,,,,,
GEO-001,Geographic Risk,Drug Jurisdictions,"Transactions with jurisdictions known to produce or transit drugs or precursor chemicals, or sources of other criminality",High,Cross-Border & Geographic Risk,"Mexico, Colombia, Afghanistan, Golden Triangle, China (precursors)","Card, Wire, Western Union","GEO-002, GEO-004, WIRE-008",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,High-risk jurisdiction indicator
GEO-002,Geographic Risk,High ML/TF Risk,Transactions with jurisdictions known to be at higher risk of ML/TF,High,Cross-Border & Geographic Risk,FATF High-Risk Jurisdictions,"Card, Wire, Western Union","GEO-001, GEO-003, GEO-004, WIRE-008",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Requires updated FATF list
GEO-003,Geographic Risk,Locations of Concern,"Transaction/business activity involving locations of concern (ongoing conflicts, weak ML/TF controls, secretive banking laws)",High,Cross-Border & Geographic Risk,"Conflict Zones, Offshore Centers, Sanctioned Countries","Card, Wire, Western Union","GEO-002, GEO-004",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Broad high-risk category
GEO-004,Geographic Risk,FATF Non-Cooperative,Transactions involving countries deemed high risk or non-cooperative by FATF,High,Cross-Border & Geographic Risk,FATF Blacklist/Greylist Countries,"Card, Wire, Western Union","GEO-001, GEO-002, GEO-003",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Updated quarterly by FATF
GEO-005,Geographic Risk,Frequent Overseas Transfers,Client makes frequent overseas transfers not in line with their financial profile,Medium,Cross-Border & Geographic Risk,Various High-Risk,"Wire, Western Union","GEO-002, WIRE-008, WIRE-010",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Profile + geographic risk combination
WIRE-008,Wire Transfers,Volume Mismatch,Large wire transfers or high volume through account that doesn't fit expected pattern,High,Cross-Border & Geographic Risk,Global,Wire,"WIRE-010, ATYPICAL-007, ATYPICAL-008, GEO-002",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,Profile mismatch indicator
WIRE-010,Wire Transfers,Multiple Senders/Receivers,Client sending to or receiving wire transfers from multiple clients,Medium,Cross-Border & Geographic Risk,Global,Wire,"WIRE-008, PROF-006, GEO-005",FINTRAC - General ML/TF Indicators,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,2025-11-24,May be ML intermediary
  ▌ HUMAN TRAFFICKING   (12 indicators),,,,,,,,,,,,
HT-SEX-01,Crimes & High-Risk Entities,Retail & Gift Card Anomalies,Rounded sum purchases at grocery stores and/or other retailers that sell gift cards and/or prepaid credit cards.,Medium,Human Trafficking,Global,Card,"HT-SEX-02, HT-SEX-07, HT-SEX-08",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Gift card purchases in rounded sums are a common trafficking proceeds conversion technique; often combined with ATM withdrawals.
HT-SEX-02,Crimes & High-Risk Entities,Retail & Gift Card Anomalies,Atypical high-value purchases at convenience stores (likely for gift cards or money transfers).,Medium,Human Trafficking,Global,Card,"HT-SEX-01, HT-SEX-07, HT-SEX-04",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Convenience store outlier spend indicates likely gift card or prepaid instrument purchase; assess frequency alongside other HT indicators.
HT-SEX-03,Crimes & High-Risk Entities,Lifestyle & Luxury Spend,"Luxury purchases (dealerships, high-end restaurants, jewelry) inconsistent with reported income or occupation.",High,Human Trafficking,Global,Card,"HT-SEX-13, PROF-005, HT-SEX-06",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Luxury spend disproportionate to income is a primary proceeds-integration indicator in sex trafficking operations.
HT-SEX-04,Crimes & High-Risk Entities,Logistics & Victim Maintenance,Frequent low-value payments for parking (indicative of victim transit or recruitment activity).,Low,Human Trafficking,Urban Centers,Card,"HT-SEX-05, HT-SEX-07, HT-SEX-08",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Unusually frequent parking spend in urban centers is associated with victim transport and client-facing activity; assess alongside hotel and food delivery spend.
HT-SEX-05,Crimes & High-Risk Entities,Logistics & Victim Maintenance,Frequent purchases for food delivery services (often multiple times per day).,Low,Human Trafficking,Urban Centers,Card,"HT-SEX-04, HT-SEX-07",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Multiple daily food delivery orders may indicate victims being kept in controlled locations; strongest signal when combined with hotel or short-term rental spend.
HT-SEX-06,Crimes & High-Risk Entities,Digital Integration,"Transfers to virtual currency, online gambling, or investments.",Medium,Human Trafficking,Global,Card,"HT-SEX-03, HT-SEX-13, HT-SEX-01",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Digital layering of trafficking proceeds through crypto and gambling platforms; online payment processors used to obscure illicit origin.
HT-SEX-07,Crimes & High-Risk Entities,Geographic & Travel Patterns,Location of accommodation bookings corresponds to location of cash deposits across multiple cities.,High,Human Trafficking,Regional,"ABM, Card","HT-SEX-08, HT-SEX-10, HT-SEX-04",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Cash deposit city matching hotel booking city across multiple locations is a high-confidence trafficking mobility indicator; corroborates victim movement.
HT-SEX-08,Crimes & High-Risk Entities,Geographic & Travel Patterns,"Payments to online accommodation or travel websites in non-residential cities (Expedia, Airbnb).",Medium,Human Trafficking,Global,Card,"HT-SEX-07, HT-SEX-10, HT-SEX-04",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Frequent out-of-city accommodation bookings without corresponding business travel profile; most significant when combined with cash deposits and food delivery spend.
HT-SEX-10,Crimes & High-Risk Entities,International Recruitment & Travel,"Large international travel purchases (airfare) targeting high-risk source countries (e.g. China, South Korea).",High,Human Trafficking,Global,Card,"HT-SEX-07, HT-SEX-08, HT-SEX-13",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,International airfare to known source countries for trafficking victims; especially significant when travel is repetitive and combined with accommodation and cash spend at destination.
HT-SEX-12,Crimes & High-Risk Entities,Illicit Storefront Operations,"Merchant POS transactions (Spa, Massage, Escort) occur after establishment business hours (10 PM to 6 AM).",High,Human Trafficking,Local,Card,"HT-SEX-07, HT-SEX-08, HT-SEX-01",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,After-hours POS activity at massage or spa establishments is a high-confidence illicit operations indicator; legitimate businesses rarely process client payments past midnight.
HT-SEX-13,Crimes & High-Risk Entities,Asset Procurement & Management,Multiple real estate purchases or high-value transfers disproportionate to reported income.,High,Human Trafficking,Domestic,"Wire, Cheque","HT-SEX-14, HT-SEX-03, HT-SEX-06",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Real estate used to house victims and launder proceeds simultaneously; disproportionate property acquisition relative to income is a dual trafficking/ML signal.
HT-SEX-14,Crimes & High-Risk Entities,Asset Procurement & Management,Monthly payments to multiple individuals or entities involved in residential rentals.,Medium,Human Trafficking,Urban Centers,"EFT, EMT, Wire","HT-SEX-13, HT-SEX-07",FINTRAC 2021-OA-HTS,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-eng,2021-07-01,Multiple rental payments to distinct parties indicate a network of victim accommodation sites; frequency and geographic spread of rental payments are key escalation signals.
